english_source,swedish_opus,swedish_human,swedish_gpt,error_tags,gpt_acceptable,context
Wouldn't you do that?,Skulle du inte göra det?,Hade inte du gjort så?,Skulle inte du göra det?,"[""SEM"", ""BET"", ""PR""]",False,"[""You're right."", ""You're over the hill."", ""And you want to be a chief."", ""-Give it here."", ""You have a lot to learn."", ""-Give it."", ""Where do you want to go?"", ""-That way."", ""Will the chief please follow me?"", ""Our assailant from the Rue Gabriel will take the stairs in the Rue Drevet.""]"
"He tries the Rue Yvonne Letac but there, school's just out.","Han försöker med Rue Yvonne Letac, men där är skolan bara ute.","Han försöker med Rue Yvonne Letac, men där har skolan precis slutat",Han försöker Rue Yvonne Letac men där slutar just skolan.,"[""SL"", ""DIR"", ""BET""]",False,"[""-That way."", ""Will the chief please follow me?"", ""Our assailant from the Rue Gabriel will take the stairs in the Rue Drevet."", ""Wouldn't you do that?"", ""-Yes."", ""At the bottom of the stairs he runs down the Rue Vieuville."", ""There's a guard post there."", ""He goes into the Rue des Martyrs."", ""There's always a police car there."", ""Ah yes.""]"
"He ends up on the Place des Abbesses, which is crowded.","Han hamnar på Place des Abbesses, som är trångt.","Han hamnar på Place des Abbesses, där det är fullt med folk","Han hamnar på Place des Abbesses, som är full av folk.","[""GR"", ""PR""]",False,"[""Will the chief please follow me?"", ""Our assailant from the Rue Gabriel will take the stairs in the Rue Drevet."", ""Wouldn't you do that?"", ""-Yes."", ""At the bottom of the stairs he runs down the Rue Vieuville."", ""There's a guard post there."", ""He goes into the Rue des Martyrs."", ""There's always a police car there."", ""Ah yes."", ""He tries the Rue Yvonne Letac but there, school's just out.""]"
He runs like a hare into the building site.,Han springer som en hare in i byggarbetsplatsen.,Han springer som en hare in på byggarbetsplatsen,Han springer som en hare in på byggarbetsplatsen.,"[""GR""]",True,"[""-Yes."", ""At the bottom of the stairs he runs down the Rue Vieuville."", ""There's a guard post there."", ""He goes into the Rue des Martyrs."", ""There's always a police car there."", ""Ah yes."", ""He tries the Rue Yvonne Letac but there, school's just out."", ""He ends up on the Place des Abbesses, which is crowded."", ""So what does he do?"", ""-He keeps going?""]"
Jumps on the roof of the restaurant kitchen.,Hoppar på taket i restaurangköket.,Hoppar upp på taket till restaurangköket,Hoppar upp på restaurangköket tak.,"[""GR"", ""PR""]",False,"[""There's a guard post there."", ""He goes into the Rue des Martyrs."", ""There's always a police car there."", ""Ah yes."", ""He tries the Rue Yvonne Letac but there, school's just out."", ""He ends up on the Place des Abbesses, which is crowded."", ""So what does he do?"", ""-He keeps going?"", ""He runs like a hare into the building site."", ""He runs through the trees.""]"
"Fifty-fifty, as always.","Femtiofemtio, som alltid.","Femtio-femtio, som vanligt.","Femtio-femtio, som alltid.","[""PR""]",False,"[""Let him go."", ""-No!"", ""Get lost."", ""-We caught him red-handed."", ""I caught him."", ""I do what I want with him."", ""Go!"", ""Can I?"", ""-Go."", ""There.""]"
Hello.,Hallå,Goddag,Hej.,"[""PR""]",False,"[""Quite right."", ""Would you be Mr. Gerald Croft?"", ""Not if I could possibly be anyone else."", ""Can't talk until I get rid of this."", ""- What is it?"", ""- You'll see."", ""Chicken, ham, fruit."", ""Everything."", ""Oh, and a bottle of wine."", ""Now, plates.""]"
You weren't born yet.,Du är inte född än.,Du var inte född än,Du var inte född än.,"[""GR"", ""BET""]",True,"[""It's all there."", ""Do I have to sign something?"", ""If we start that, we'll never finish."", ""The money would be stored for a year and then not everybody's like me."", ""But if you want..."", ""-No, that's alright."", ""Thanks."", ""I'm just doing my job."", ""Goodbye, madam."", ""You knew the woman.""]"
I only remember winning at the races.,Jag minns bara att jag vann på tävlingarna.,Jag minns bara att jag vann på loppen,Jag minns bara att jag vann på kapplöpningarna.,"[""SEM""]",False,"[""If we start that, we'll never finish."", ""The money would be stored for a year and then not everybody's like me."", ""But if you want..."", ""-No, that's alright."", ""Thanks."", ""I'm just doing my job."", ""Goodbye, madam."", ""You knew the woman."", ""-You weren't born yet."", ""Tell me about your past.""]"
I won the double.,Jag vann dubbelpriset.,Jag vann dubbelvinsten,Jag vann dubbeln.,"[""SEM""]",True,"[""Thanks."", ""I'm just doing my job."", ""Goodbye, madam."", ""You knew the woman."", ""-You weren't born yet."", ""Tell me about your past."", ""I only remember winning at the races."", ""I forget everything."", ""You're really a big prude, aren't you?"", ""Oh!""]"
I'm going to cash in big time.,Jag kommer att tjäna pengar i stor tid.,Jag kommer tjäna stort,Jag ska hämta ut en rejäl vinst.,"[""SL"", ""DIR"", ""SEM""]",True,"[""I'm just doing my job."", ""Goodbye, madam."", ""You knew the woman."", ""-You weren't born yet."", ""Tell me about your past."", ""I only remember winning at the races."", ""I forget everything."", ""You're really a big prude, aren't you?"", ""Oh!"", ""I won the double.""]"
"The same, please.","Samma sak, tack.","Samma, tack","Samma, tack.","[""ADD"", ""PR""]",True,"[""I only remember winning at the races."", ""I forget everything."", ""You're really a big prude, aren't you?"", ""Oh!"", ""I won the double."", ""I'm going to cash in big time."", ""That's a nice surprise."", ""This will be a happy memory."", ""Let's drink to it, Fran\u00e7ois."", ""Yes, yes, yes.""]"
Do you want to end like this?,Vill du sluta så här?,tanke: Vill du att det ska sluta så här?,Vill du sluta så här?,"[""PR""]",False,"[""What now?"", ""2:1?"", ""Don't exaggerate."", ""I also think of you at night."", ""You do?"", ""And?"", ""I can't blame you for wanting to change your life."", ""Don't become like me."", ""-Why do you say that?"", ""Look at me.""]"
And how do I hide this mess?,Och hur döljer jag den här röran?,Och hur gömmer jag undan den här röran?,Och hur ska jag dölja det här kaoset?,"[""SEM""]",False,"[""You do?"", ""And?"", ""I can't blame you for wanting to change your life."", ""Don't become like me."", ""-Why do you say that?"", ""Look at me."", ""Do you want to end like this?"", ""I'm living with an old whore."", ""I only read the Racing News."", ""I have no future and no dough.""]"
And maybe one day you'll be the head of police of all of Paris.,En dag kanske du blir polischef i hela Paris.,Och en vacker dag kanske du blir polischef för hela Paris,Och kanske blir du en dag Paris hela polischef.,"[""SAK"", ""GR"", ""PR""]",False,"[""I pretend."", ""Stop it."", ""It's not that bad."", ""Really?"", ""Do you want to become like me?"", ""Well then."", ""So work to be a chief."", ""You're good."", ""You'll do it."", ""And if you work really hard you'll be superintendent.""]"
"You taught me so much about the streets, the people...","Du lärde mig så mycket om gatorna, folket...","Du lärde mig så mycket om gatan, folket","Du lärde mig så mycket om gatorna, människorna…","[""SL"", ""SEM""]",False,"[""Stop it."", ""It's not that bad."", ""Really?"", ""Do you want to become like me?"", ""Well then."", ""So work to be a chief."", ""You're good."", ""You'll do it."", ""And if you work really hard you'll be superintendent."", ""And maybe one day you'll be the head of police of all of Paris.""]"
Maybe you can pass with distinction.,Du kanske kan klara dig utan åtskillnad.,"Beroende på vilket betygssystem som refereras
till kan det även funka med:
""Du kanske kan klara det med högsta betyg""",Kanske kan du klara det med utmärkelse.,"[""ST"", ""BET"", ""SEM""]",False,"[""And if you work really hard you'll be superintendent."", ""And maybe one day you'll be the head of police of all of Paris."", ""You taught me so much about the streets, the people..."", ""You've got the practical experience."", ""What you need is theory."", ""And you only learn theory from books."", ""-I've got mine."", ""The exam is hard."", ""-I'll memorize it all."", ""But I know a few tricks.""]"
The chief is looking everywhere for you.,Chefen letar överallt efter dig.,Chefen har letat överallt efter dig,Chefen letar överallt efter dig.,"[""DIR"", ""SEM""]",False,"[""What you need is theory."", ""And you only learn theory from books."", ""-I've got mine."", ""The exam is hard."", ""-I'll memorize it all."", ""But I know a few tricks."", ""Maybe you can pass with distinction."", ""What the hell's he doing there?"", ""Let him go."", ""The case is solved.""]"
That's not what he says.,Det är inte vad han säger.,Det är inte vad han påstår,Det är inte vad han säger.,"[""DIR"", ""PR""]",False,"[""The case is solved."", ""-The chief is looking everywhere for you."", ""Yes!"", ""I'm disappointed."", ""I'm sad and disappointed."", ""What did we do?"", ""-You caught a thief."", ""We didn't arrest anybody."", ""-We almost arrested him."", ""The one who fought like crazy and got away?""]"
It fell out of his bag.,Den ramlade ur hans väska,De föll ur hans väska,Det föll ur hans väska.,"[""GR"", ""PR""]",False,"[""We didn't arrest anybody."", ""-We almost arrested him."", ""The one who fought like crazy and got away?"", ""That's not what he says."", ""-He's lying."", ""He even got him..."", ""Feeling better?"", ""Yes, yes, no."", ""The old man's still standing."", ""And the money?""]"
We gave it back to the owner.,Vi gav tillbaka den till ägaren.,Vi gav tillbaka dem till ägaren,Vi gav tillbaka det till ägaren.,"[""DIR"", ""GR""]",False,"[""-We almost arrested him."", ""The one who fought like crazy and got away?"", ""That's not what he says."", ""-He's lying."", ""He even got him..."", ""Feeling better?"", ""Yes, yes, no."", ""The old man's still standing."", ""And the money?"", ""-It fell out of his bag.""]"
Who asked you anything?,Vem frågade dig nåt?,Vem bad om din åsikt?,Vem bad dig om något?,"[""DIR"", ""PR""]",False,"[""That's not what he says."", ""-He's lying."", ""He even got him..."", ""Feeling better?"", ""Yes, yes, no."", ""The old man's still standing."", ""And the money?"", ""-It fell out of his bag."", ""We gave it back to the owner."", ""Do you have the return form?""]"
Hello.,Hallå.,Hej,Hej.,"[""PR""]",True,"[""Quite right."", ""Would you be Mr. Gerald Croft?"", ""Not if I could possibly be anyone else."", ""Can't talk until I get rid of this."", ""- What is it?"", ""- You'll see."", ""Chicken, ham, fruit."", ""Everything."", ""Oh, and a bottle of wine."", ""Now, plates.""]"
You didn't keep the money?,Har du inte sparat pengarna?,Behöll du inte pengarna?,Du behöll inte pengarna?,"[""SEM""]",False,"[""And the money?"", ""-It fell out of his bag."", ""We gave it back to the owner."", ""Do you have the return form?"", ""-Who asked you anything?"", ""Ren\u00e9!"", ""Mr. Guichard, Director of Criminal Investigation."", ""Hello."", ""In order to avoid red tape, we returned the money straight to the owner."", ""That's not what the woman's saying.""]"
No.,"Nej, det gör jag inte.",Nej,Nej.,"[""ADD"", ""BET""]",True,"[""- Yes."", ""I think I do."", ""I'm sorry Miss Madden."", ""Wait."", ""Has he been bothering you?"", ""No, not really."", ""They say he cut the arrow out of Dan."", ""He saved Dan's life."", ""If he lives he can thank his own toughness, not Bridger."", ""Has that sqaw man been asking any questions about me?""]"
He had a model career.,Han hade en modellkarriär.,Han hade en exemplarisk karriär,Han hade en mönsterkarriär.,"[""LF"", ""BET""]",False,"[""No, careful..."", ""Fran\u00e7ois!"", ""Bullshit!"", ""It's not true."", ""Fran\u00e7ois, calm down."", ""-Bullshit."", ""I'll get that bitch..."", ""Lock him up."", ""-But..."", ""While his stuff's being searched.""]"
Take... take them away.,Ta bort dem.,För... För bort dem,Ta… ta bort dem.,"[""SAK"", ""LF"", ""BET""]",False,"[""Fran\u00e7ois, calm down."", ""-Bullshit."", ""I'll get that bitch..."", ""Lock him up."", ""-But..."", ""While his stuff's being searched."", ""-He had a model career."", ""Put those rotten cops behind bars.."", ""They're not rotten cops."", ""-That's an order.""]"
I had an old bone to pick with you.,Jag hade ett gammalt ben att välja med dig.,"Jag hade en gås oplockad med dig. (Tycker
detta låter mer korrekt, men har googlat och 
det verkar vara en smaksak huruvida ""gås"" eller ""oplockad"" kommer först)",Jag hade ett gammalt horn i sidan på dig.,"[""ID"", ""LF"", ""BET""]",False,"[""-Bullshit."", ""I'll get that bitch..."", ""Lock him up."", ""-But..."", ""While his stuff's being searched."", ""-He had a model career."", ""Put those rotten cops behind bars.."", ""They're not rotten cops."", ""-That's an order."", ""Take... take them away.""]"
She wanted a child and thought I did too.,Hon ville ha ett barn och trodde att jag också gjorde det.,Hon ville ha barn och trodde att jag också gjorde det,Hon ville ha ett barn och trodde att jag också ville det.,"[""PR""]",False,"[""-He had a model career."", ""Put those rotten cops behind bars.."", ""They're not rotten cops."", ""-That's an order."", ""Take... take them away."", ""I had an old bone to pick with you."", ""-That was 25 years ago."", ""Ren\u00e9, a woman doesn't forget."", ""Who's this bitch?"", ""-She's not a bitch.""]"
"If it had been a simple meal  I wouldn't have minded, but with an entrée...","Om det hade varit en enkel måltid hade jag inte brytt mig, men med en entrée...","Hade det hade varit en enkel måltid hade jag inte brytt mig, men med förrätt...","Om det hade varit en enkel måltid hade jag inte brytt mig, men med en förrätt…","[""DIR"", ""SAK"", ""BET""]",False,"[""-That's an order."", ""Take... take them away."", ""I had an old bone to pick with you."", ""-That was 25 years ago."", ""Ren\u00e9, a woman doesn't forget."", ""Who's this bitch?"", ""-She's not a bitch."", ""She wanted a child and thought I did too."", ""And then I met Simone."", ""They had lunch every day.""]"
Tried to get money from me.,Jag försökte få pengar av mig.,Försökte få pengar av mig,Försökte få pengar av mig.,"[""ADD"", ""BET""]",True,"[""-That was 25 years ago."", ""Ren\u00e9, a woman doesn't forget."", ""Who's this bitch?"", ""-She's not a bitch."", ""She wanted a child and thought I did too."", ""And then I met Simone."", ""They had lunch every day."", ""If it had been a simple meal  I wouldn't have minded, but with an entr\u00e9e..."", ""Did they threaten you?"", ""-They visited me every month.""]"
